Timestamp,Time_Elapsed(s),SoC(%),Voltage(V),SoH(%),Cycle_Count
2025-05-31 17:36:21,1,95.00,3.685,100.00,0
2025-05-31 17:36:22,2,95.00,3.685,100.00,0
2025-05-31 17:36:23,3,95.00,3.685,100.00,0
2025-05-31 17:36:24,4,95.00,3.685,100.00,0
2025-05-31 17:36:25,5,95.00,3.685,100.00,0
2025-05-31 17:36:26,6,95.00,3.685,100.00,0
2025-05-31 17:36:27,7,94.99,3.685,100.00,0
2025-05-31 17:36:28,8,94.99,3.685,100.00,0
2025-05-31 17:36:29,9,94.99,3.685,100.00,0
2025-05-31 17:36:30,10,94.99,3.685,99.90,1
2025-05-31 17:36:31,11,94.99,3.685,99.90,1
2025-05-31 17:36:32,12,94.99,3.685,99.90,1
2025-05-31 17:36:33,13,94.99,3.685,99.90,1
2025-05-31 17:36:34,14,94.99,3.685,99.90,1
2025-05-31 17:36:35,15,94.99,3.685,99.90,1
2025-05-31 17:36:36,16,94.99,3.685,99.90,1
2025-05-31 17:36:37,17,94.98,3.685,99.90,1
2025-05-31 17:36:38,18,94.99,3.685,99.90,1
2025-05-31 17:36:39,19,94.99,3.685,99.90,1
2025-05-31 17:36:40,20,94.99,3.685,99.80,2
2025-05-31 17:36:41,21,94.99,3.685,99.80,2
2025-05-31 17:36:42,22,94.98,3.685,99.80,2
2025-05-31 17:36:43,23,94.99,3.685,99.80,2
2025-05-31 17:36:44,24,94.97,3.685,99.80,2
2025-05-31 17:36:45,25,94.98,3.685,99.80,2
2025-05-31 17:36:47,26,94.98,3.685,99.80,2
2025-05-31 17:36:48,27,94.98,3.685,99.80,2
2025-05-31 17:36:49,28,94.98,3.685,99.80,2
2025-05-31 17:36:50,29,94.97,3.685,99.80,2
2025-05-31 17:36:51,30,94.97,3.685,99.70,3
2025-05-31 17:36:52,31,94.97,3.685,99.70,3
2025-05-31 17:36:53,32,94.97,3.685,99.70,3
2025-05-31 17:36:54,33,94.97,3.685,99.70,3
2025-05-31 17:36:55,34,94.98,3.685,99.70,3
2025-05-31 17:36:56,35,94.97,3.685,99.70,3
2025-05-31 17:36:57,36,94.97,3.685,99.70,3
2025-05-31 17:36:58,37,94.97,3.685,99.70,3
2025-05-31 17:36:59,38,94.96,3.685,99.70,3
2025-05-31 17:37:00,39,94.97,3.685,99.70,3
2025-05-31 17:37:01,40,94.95,3.685,99.60,4
2025-05-31 17:37:02,41,94.97,3.685,99.60,4
2025-05-31 17:37:03,42,94.98,3.685,99.60,4
2025-05-31 17:37:04,43,94.96,3.685,99.60,4
2025-05-31 17:37:05,44,94.95,3.685,99.60,4
2025-05-31 17:37:06,45,94.96,3.685,99.60,4
2025-05-31 17:37:07,46,94.96,3.685,99.60,4
2025-05-31 17:37:08,47,94.96,3.685,99.60,4
2025-05-31 17:37:09,48,94.97,3.685,99.60,4
2025-05-31 17:37:10,49,94.98,3.685,99.60,4
2025-05-31 17:37:11,50,94.98,3.685,99.50,5
2025-05-31 17:37:12,51,94.97,3.685,99.50,5
2025-05-31 17:37:13,52,94.96,3.685,99.50,5
2025-05-31 17:37:14,53,94.96,3.685,99.50,5
