Timestamp,Time_Elapsed(s),SoC(%),Voltage(V),Temperature(°C),Power(W),Current(A),SoH(%),Cycle_Count
2025-05-31 17:44:39,1,90.00,3.670,29.3,17.46,4.76,100.00,0
2025-05-31 17:44:40,2,90.00,3.670,25.4,12.72,3.46,100.00,0
2025-05-31 17:44:41,3,89.99,3.670,28.1,18.01,4.91,100.00,0
2025-05-31 17:44:42,4,89.99,3.670,24.1,12.87,3.51,100.00,0
2025-05-31 17:44:43,5,89.99,3.670,25.1,12.34,3.36,100.00,0
2025-05-31 17:44:44,6,89.99,3.670,32.6,21.42,5.84,100.00,0
2025-05-31 17:44:45,7,89.99,3.670,23.6,12.49,3.40,100.00,0
2025-05-31 17:44:46,8,89.98,3.670,34.7,24.34,6.63,100.00,0
2025-05-31 17:44:47,9,89.99,3.670,25.3,13.18,3.59,100.00,0
2025-05-31 17:44:48,10,89.97,3.670,35.2,26.69,7.27,99.90,1
2025-05-31 17:44:49,11,89.99,3.670,23.2,11.82,3.22,99.90,1
2025-05-31 17:44:50,12,89.98,3.670,26.6,15.27,4.16,99.90,1
2025-05-31 17:44:51,13,89.99,3.670,22.9,9.50,2.59,99.90,1
2025-05-31 17:44:52,14,89.98,3.670,25.1,12.66,3.45,99.90,1
2025-05-31 17:44:53,15,89.97,3.670,32.7,21.64,5.90,99.90,1
2025-05-31 17:44:54,16,89.98,3.670,22.9,10.63,2.90,99.90,1
2025-05-31 17:44:55,17,89.96,3.670,34.0,24.79,6.76,99.90,1
2025-05-31 17:44:56,18,89.95,3.670,35.7,25.56,6.96,99.90,1
2025-05-31 17:44:57,19,89.97,3.670,28.5,17.34,4.73,99.90,1
2025-05-31 17:44:58,20,89.95,3.670,36.1,25.94,7.07,99.80,2
2025-05-31 17:44:59,21,89.94,3.670,36.3,26.50,7.22,99.80,2
2025-05-31 17:45:00,22,89.96,3.670,28.0,16.86,4.59,99.80,2
2025-05-31 17:45:01,23,89.94,3.670,34.5,26.00,7.08,99.80,2
2025-05-31 17:45:02,24,89.95,3.670,33.3,22.47,6.12,99.80,2
2025-05-31 17:45:03,25,89.97,3.670,24.0,12.45,3.39,99.80,2
2025-05-31 17:45:04,26,89.94,3.670,33.3,23.23,6.33,99.80,2
2025-05-31 17:45:05,27,89.97,3.670,23.8,10.61,2.89,99.80,2
2025-05-31 17:45:06,28,89.95,3.670,27.3,16.67,4.54,99.80,2
2025-05-31 17:45:07,29,89.93,3.670,35.4,24.78,6.75,99.80,2
2025-05-31 17:45:08,30,89.96,3.670,24.0,12.56,3.42,99.70,3
2025-05-31 17:45:09,31,89.94,3.670,27.9,17.77,4.84,99.70,3
2025-05-31 17:45:11,32,89.97,3.670,23.0,9.50,2.59,99.70,3
