Timestamp,Time_Elapsed(s),SoC(%),Voltage(V),Temperature(°C),Power(W),Current(A),SoH(%),Cycle_Count,EIS_Impedance(mΩ),Internal_Resistance(mΩ),Load_Profile
2025-05-31 18:08:26,1,100.00,3.454,16.0,51.53,14.92,100.00,0,7.0,50.0,EV City Driving
2025-05-31 18:08:27,2,100.00,2.996,15.1,72.15,24.09,100.00,0,7.2,50.0,EV City Driving
2025-05-31 18:08:28,3,99.99,2.653,14.3,82.07,30.93,100.00,0,7.4,50.0,EV City Driving
2025-05-31 18:08:29,4,99.99,2.009,16.1,88.03,43.81,100.00,0,7.0,50.0,EV City Driving
2025-05-31 18:08:30,5,82.16,2.300,18.8,79.19,34.42,100.00,0,6.3,50.0,EV City Driving
2025-05-31 18:08:31,6,60.23,2.930,15.3,54.58,18.63,100.00,0,7.2,50.0,EV City Driving
2025-05-31 18:08:32,7,64.33,2.882,17.0,57.86,20.08,100.00,0,6.7,50.0,EV City Driving
2025-05-31 18:08:33,8,48.07,3.338,19.0,30.07,9.01,100.00,0,6.3,50.0,EV City Driving
2025-05-31 18:08:34,9,62.20,2.792,19.6,60.38,21.63,100.00,0,6.2,50.0,EV City Driving
2025-05-31 18:08:35,10,72.44,0.909,17.6,55.02,60.51,100.00,0,6.6,50.0,EV City Driving
2025-05-31 18:08:36,11,52.82,1.853,19.2,72.78,39.28,100.00,0,6.3,50.0,EV City Driving
2025-05-31 18:08:37,12,60.16,1.721,15.0,73.66,42.79,100.00,0,7.2,50.0,EV City Driving
2025-05-31 18:08:38,13,43.90,3.045,17.7,43.74,14.36,100.00,0,6.6,50.0,EV City Driving
2025-05-31 18:08:39,14,36.09,3.170,16.5,34.66,10.94,100.00,0,6.9,50.0,EV City Driving
2025-05-31 18:08:40,15,27.69,3.384,18.6,19.09,5.64,100.00,0,6.4,50.0,EV City Driving
2025-05-31 18:08:41,16,44.52,3.073,17.2,42.66,13.88,100.00,0,6.7,50.0,EV City Driving
2025-05-31 18:08:42,17,59.50,2.707,18.8,62.26,23.00,100.00,0,6.3,50.0,EV City Driving
2025-05-31 18:08:43,18,70.44,1.979,14.3,76.93,38.87,100.00,0,7.4,50.0,EV City Driving
2025-05-31 18:08:45,19,70.31,1.975,16.1,76.90,38.93,100.00,0,7.0,50.0,EV City Driving
2025-05-31 18:08:46,20,52.66,2.487,14.2,66.09,26.57,100.00,0,7.4,50.0,EV City Driving
2025-05-31 18:08:47,21,39.78,2.767,17.6,53.76,19.43,100.00,0,6.6,50.0,EV City Driving
2025-05-31 18:08:48,22,30.38,3.015,17.7,40.24,13.35,100.00,0,6.6,50.0,EV City Driving
2025-05-31 18:08:49,23,24.87,3.135,14.0,32.26,10.29,100.00,0,7.5,50.0,EV City Driving
2025-05-31 18:08:50,24,43.82,2.735,16.9,56.24,20.57,100.00,0,6.8,50.0,EV City Driving
2025-05-31 18:08:51,25,58.99,1.671,14.2,72.95,43.66,100.00,0,7.4,50.0,EV City Driving
2025-05-31 18:08:52,26,49.80,1.825,19.5,72.04,39.48,100.00,0,6.2,50.0,EV City Driving
2025-05-31 18:08:53,27,37.69,2.358,18.2,64.52,27.37,100.00,0,6.5,50.0,EV City Driving
2025-05-31 18:08:54,28,28.85,2.879,16.8,45.73,15.88,100.00,0,6.8,50.0,EV City Driving
2025-05-31 18:08:55,29,22.41,3.195,16.7,28.09,8.79,100.00,0,6.8,50.0,EV City Driving
2025-05-31 18:08:56,30,19.06,3.196,17.3,17.76,5.56,99.98,1,6.7,75.0,EV City Driving
2025-05-31 18:08:57,31,40.92,2.985,15.6,45.39,15.20,99.98,1,7.1,50.0,EV City Driving
2025-05-31 18:08:58,32,56.88,2.425,17.9,68.69,28.32,99.98,1,6.5,50.0,EV City Driving
2025-05-31 18:08:59,33,65.82,2.254,16.6,73.97,32.81,99.98,1,6.8,50.0,EV City Driving
2025-05-31 18:09:00,34,75.04,1.466,16.1,72.84,49.69,99.98,1,7.0,50.0,EV City Driving
2025-05-31 18:09:01,35,54.76,2.265,14.4,70.83,31.27,99.98,1,7.4,50.0,EV City Driving
2025-05-31 18:09:02,36,41.32,2.855,16.1,51.00,17.87,99.98,1,7.0,50.0,EV City Driving
2025-05-31 18:09:03,37,35.55,2.927,18.8,46.05,15.73,99.98,1,6.3,50.0,EV City Driving
2025-05-31 18:09:04,38,27.30,3.169,14.1,31.35,9.89,99.98,1,7.5,50.0,EV City Driving
2025-05-31 18:09:05,39,46.93,2.698,16.6,58.46,21.67,99.98,1,6.8,50.0,EV City Driving
2025-05-31 18:09:06,40,61.26,1.647,17.3,73.14,44.41,99.98,1,6.7,50.0,EV City Driving
2025-05-31 18:09:07,41,47.41,1.900,14.6,71.61,37.69,99.98,1,7.4,50.0,EV City Driving
2025-05-31 18:09:08,42,34.59,2.630,18.3,56.68,21.55,99.98,1,6.4,50.0,EV City Driving
2025-05-31 18:09:09,43,26.60,3.021,17.6,38.60,12.78,99.98,1,6.6,50.0,EV City Driving
2025-05-31 18:09:10,44,22.11,3.168,18.5,29.46,9.30,99.98,1,6.4,50.0,EV City Driving
2025-05-31 18:09:11,45,17.49,3.219,14.9,16.35,5.08,99.98,1,7.3,75.0,EV City Driving
2025-05-31 18:09:12,46,39.78,2.876,16.8,49.60,17.24,99.98,1,6.8,50.0,EV City Driving
2025-05-31 18:09:13,47,56.04,2.478,14.3,67.32,27.17,99.98,1,7.4,50.0,EV City Driving
2025-05-31 18:09:14,48,63.86,2.303,18.9,72.78,31.60,99.98,1,6.3,50.0,EV City Driving
2025-05-31 18:09:15,49,73.61,1.407,14.1,71.33,50.69,99.98,1,7.5,50.0,EV City Driving
2025-05-31 18:09:16,50,61.82,1.595,19.5,72.60,45.51,99.98,1,6.2,50.0,EV City Driving
2025-05-31 18:09:17,51,45.12,2.747,18.3,56.23,20.47,99.98,1,6.4,50.0,EV City Driving
2025-05-31 18:09:18,52,34.28,3.028,14.2,41.02,13.55,99.98,1,7.5,50.0,EV City Driving
2025-05-31 18:09:19,53,29.07,3.128,15.3,34.20,10.94,99.98,1,7.2,50.0,EV City Driving
2025-05-31 18:09:20,54,45.52,2.809,19.7,54.15,19.27,99.98,1,6.1,50.0,EV City Driving
2025-05-31 18:09:21,55,60.23,2.077,14.8,74.13,35.69,99.98,1,7.3,50.0,EV City Driving
2025-05-31 18:09:22,56,49.36,2.264,16.3,69.38,30.65,99.98,1,6.9,50.0,EV City Driving
2025-05-31 18:09:23,57,41.42,2.398,19.2,64.77,27.01,99.98,1,6.3,50.0,EV City Driving
2025-05-31 18:09:24,58,31.58,2.962,18.4,43.09,14.55,99.98,1,6.4,50.0,EV City Driving
2025-05-31 18:09:25,59,25.75,3.126,19.6,33.04,10.57,99.98,1,6.2,50.0,EV City Driving
2025-05-31 18:09:26,60,20.14,3.345,18.3,18.45,5.52,99.96,2,6.5,50.0,EV City Driving
2025-05-31 18:09:27,61,40.36,2.962,17.5,46.20,15.59,99.96,2,6.6,50.0,EV City Driving
2025-05-31 18:09:28,62,56.47,2.417,18.6,68.73,28.43,99.96,2,6.4,50.0,EV City Driving
2025-05-31 18:09:29,63,61.47,2.319,14.5,71.88,31.00,99.96,2,7.4,50.0,EV City Driving
2025-05-31 18:09:30,64,71.87,1.645,14.5,75.22,45.72,99.96,2,7.4,50.0,EV City Driving
2025-05-31 18:09:31,65,52.45,2.383,18.2,68.23,28.63,99.96,2,6.5,50.0,EV City Driving
2025-05-31 18:09:32,66,39.63,2.714,20.0,55.56,20.47,99.96,2,6.1,50.0,EV City Driving
2025-05-31 18:09:33,67,31.62,2.848,18.6,47.93,16.83,99.96,2,6.4,50.0,EV City Driving
2025-05-31 18:09:34,68,24.43,3.139,19.6,31.88,10.16,99.96,2,6.2,50.0,EV City Driving
2025-05-31 18:09:35,69,44.84,2.621,14.6,60.19,22.97,99.96,2,7.4,50.0,EV City Driving
2025-05-31 18:09:36,70,59.73,1.730,14.6,73.64,42.56,99.96,2,7.3,50.0,EV City Driving
2025-05-31 18:09:37,71,46.29,1.995,14.7,71.13,35.66,99.96,2,7.3,50.0,EV City Driving
2025-05-31 18:09:38,72,35.13,2.540,18.2,59.49,23.42,99.96,2,6.5,50.0,EV City Driving
2025-05-31 18:09:39,73,26.99,2.866,18.6,45.61,15.91,99.96,2,6.4,50.0,EV City Driving
2025-05-31 18:09:40,74,21.05,3.147,18.3,30.17,9.59,99.96,2,6.4,50.0,EV City Driving
2025-05-31 18:09:41,75,16.71,3.210,15.1,16.43,5.12,99.96,2,7.2,75.0,EV City Driving
2025-05-31 18:09:42,76,39.21,3.019,15.9,43.23,14.32,99.96,2,7.0,50.0,EV City Driving
2025-05-31 18:09:43,77,55.63,2.670,15.7,62.15,23.28,99.96,2,7.1,50.0,EV City Driving
2025-05-31 18:09:44,78,67.61,1.921,15.6,76.25,39.69,99.96,2,7.1,50.0,EV City Driving
2025-05-31 18:09:45,79,65.54,1.947,15.0,75.79,38.92,99.96,2,7.3,50.0,EV City Driving
2025-05-31 18:09:46,80,49.18,2.312,19.0,68.58,29.66,99.96,2,6.3,50.0,EV City Driving
2025-05-31 18:09:47,81,37.24,2.742,18.2,53.81,19.62,99.96,2,6.5,50.0,EV City Driving
2025-05-31 18:09:48,82,31.23,2.855,18.7,47.53,16.65,99.96,2,6.4,50.0,EV City Driving
2025-05-31 18:09:49,83,24.14,3.072,14.7,35.22,11.47,99.96,2,7.3,50.0,EV City Driving
2025-05-31 18:09:50,84,37.88,2.817,17.0,51.29,18.21,99.96,2,6.8,50.0,EV City Driving
2025-05-31 18:09:51,85,54.65,1.958,17.8,73.23,37.40,99.96,2,6.6,50.0,EV City Driving
2025-05-31 18:09:52,86,47.99,2.047,16.7,71.27,34.81,99.96,2,6.8,50.0,EV City Driving
2025-05-31 18:09:53,87,62.03,1.718,17.9,74.02,43.08,99.96,2,6.5,50.0,EV City Driving
2025-05-31 18:09:54,88,45.27,2.912,17.3,50.04,17.18,99.96,2,6.7,50.0,EV City Driving
2025-05-31 18:09:55,89,34.39,3.182,16.3,33.34,10.48,99.96,2,6.9,50.0,EV City Driving
2025-05-31 18:09:56,90,27.80,3.385,14.7,19.07,5.63,99.94,3,7.3,50.0,EV City Driving
2025-05-31 18:09:57,91,44.60,3.026,18.9,44.88,14.83,99.94,3,6.3,50.0,EV City Driving
2025-05-31 18:09:58,92,59.56,2.686,15.1,62.92,23.42,99.94,3,7.2,50.0,EV City Driving
2025-05-31 18:09:59,93,70.48,2.338,16.2,74.10,31.69,99.94,3,6.9,50.0,EV City Driving
2025-05-31 18:10:00,94,78.45,1.996,17.3,79.38,39.77,99.94,3,6.7,50.0,EV City Driving
2025-05-31 18:10:01,95,58.60,2.464,16.4,68.38,27.75,99.94,3,6.9,50.0,EV City Driving
2025-05-31 18:10:02,96,44.12,2.767,18.2,55.22,19.96,99.94,3,6.5,50.0,EV City Driving
2025-05-31 18:10:03,97,36.25,2.909,14.9,47.04,16.17,99.94,3,7.3,50.0,EV City Driving
2025-05-31 18:10:04,98,27.80,3.141,18.5,33.04,10.52,99.94,3,6.4,50.0,EV City Driving
2025-05-31 18:10:05,99,47.30,2.637,19.8,60.49,22.94,99.94,3,6.1,50.0,EV City Driving
2025-05-31 18:10:06,100,61.53,1.891,18.5,74.82,39.56,99.94,3,6.4,50.0,EV City Driving
2025-05-31 18:10:07,101,57.06,1.981,19.3,73.75,37.22,99.94,3,6.2,50.0,EV City Driving
2025-05-31 18:10:08,102,41.64,2.667,14.8,57.75,21.65,99.94,3,7.3,50.0,EV City Driving
2025-05-31 18:10:09,103,33.09,2.884,17.5,46.97,16.28,99.94,3,6.6,50.0,EV City Driving
2025-05-31 18:10:10,104,25.50,3.139,18.5,32.29,10.29,99.94,3,6.4,50.0,EV City Driving
2025-05-31 18:10:11,105,19.96,3.228,19.3,16.86,5.22,99.94,3,6.2,75.0,EV City Driving
2025-05-31 18:10:12,106,41.58,2.977,16.9,46.01,15.46,99.94,3,6.8,50.0,EV City Driving
2025-05-31 18:10:13,107,56.01,2.669,18.6,62.29,23.34,99.94,3,6.4,50.0,EV City Driving
2025-05-31 18:10:14,108,67.88,1.909,14.8,76.30,39.96,99.94,3,7.3,50.0,EV City Driving
2025-05-31 18:10:15,109,73.85,1.765,16.4,76.89,43.56,99.94,3,6.9,50.0,EV City Driving
2025-05-31 18:10:16,110,55.24,2.428,16.2,68.15,28.07,99.94,3,6.9,50.0,EV City Driving
2025-05-31 18:10:17,111,41.67,2.770,14.2,54.30,19.60,99.94,3,7.4,50.0,EV City Driving
2025-05-31 18:10:18,112,35.81,2.872,16.5,48.41,16.86,99.94,3,6.9,50.0,EV City Driving
2025-05-31 18:10:19,113,27.48,3.129,15.1,33.53,10.72,99.94,3,7.2,50.0,EV City Driving
2025-05-31 18:10:20,114,43.02,2.852,14.1,51.67,18.12,99.94,3,7.5,50.0,EV City Driving
2025-05-31 18:10:21,115,58.41,1.763,14.9,73.60,41.74,99.94,3,7.3,50.0,EV City Driving
2025-05-31 18:10:22,116,49.37,1.912,14.8,72.05,37.68,99.94,3,7.3,50.0,EV City Driving
2025-05-31 18:10:23,117,44.13,1.987,16.8,70.65,35.55,99.94,3,6.8,50.0,EV City Driving
2025-05-31 18:10:24,118,32.21,3.031,18.6,40.16,13.25,99.94,3,6.4,50.0,EV City Driving
2025-05-31 18:10:25,119,26.21,3.202,18.5,29.15,9.10,99.94,3,6.4,50.0,EV City Driving
2025-05-31 18:10:26,120,20.48,3.387,14.5,16.00,4.73,99.92,4,7.4,50.0,EV City Driving
2025-05-31 18:10:27,121,37.91,3.065,14.2,40.59,13.24,99.92,4,7.5,50.0,EV City Driving
2025-05-31 18:10:28,122,54.68,2.574,16.2,64.55,25.07,99.92,4,6.9,50.0,EV City Driving
2025-05-31 18:10:29,123,66.91,2.251,18.3,74.30,33.00,99.92,4,6.5,50.0,EV City Driving
2025-05-31 18:10:30,124,75.84,1.813,18.8,77.79,42.92,99.92,4,6.3,50.0,EV City Driving
2025-05-31 18:10:31,125,56.70,2.344,16.8,70.15,29.93,99.92,4,6.8,50.0,EV City Driving
2025-05-31 18:10:32,126,42.73,2.638,16.5,59.01,22.37,99.92,4,6.9,50.0,EV City Driving
2025-05-31 18:10:33,127,32.53,2.937,17.4,44.54,15.17,99.92,4,6.7,50.0,EV City Driving
2025-05-31 18:10:34,128,26.44,3.126,17.2,33.31,10.66,99.92,4,6.7,50.0,EV City Driving
2025-05-31 18:10:35,129,44.96,2.745,17.6,56.25,20.49,99.92,4,6.6,50.0,EV City Driving
2025-05-31 18:10:36,130,59.82,1.930,19.3,74.46,38.57,99.92,4,6.2,50.0,EV City Driving
2025-05-31 18:10:37,131,47.71,2.153,19.8,70.33,32.66,99.92,4,6.1,50.0,EV City Driving
2025-05-31 18:10:38,132,36.16,2.502,17.5,60.80,24.30,99.92,4,6.7,50.0,EV City Driving
2025-05-31 18:10:39,133,27.74,2.832,14.3,47.27,16.69,99.92,4,7.5,50.0,EV City Driving
2025-05-31 18:10:40,134,21.60,3.055,14.1,35.10,11.49,99.92,4,7.5,50.0,EV City Driving
2025-05-31 18:10:41,135,17.11,3.191,16.8,17.28,5.42,99.92,4,6.8,75.0,EV City Driving
2025-05-31 18:10:42,136,39.50,3.072,17.1,40.86,13.30,99.92,4,6.7,50.0,EV City Driving
2025-05-31 18:10:43,137,55.84,2.466,17.1,67.52,27.38,99.92,4,6.7,50.0,EV City Driving
2025-05-31 18:10:44,138,67.76,1.937,18.3,76.30,39.40,99.92,4,6.5,50.0,EV City Driving
2025-05-31 18:10:45,139,73.76,1.782,18.1,77.00,43.21,99.92,4,6.5,50.0,EV City Driving
2025-05-31 18:10:46,140,55.18,2.166,16.9,72.13,33.30,99.92,4,6.8,50.0,EV City Driving
2025-05-31 18:10:47,141,41.62,2.729,16.5,55.72,20.42,99.92,4,6.9,50.0,EV City Driving
2025-05-31 18:10:48,142,31.72,3.005,15.6,41.18,13.70,99.92,4,7.1,50.0,EV City Driving
2025-05-31 18:10:49,143,25.85,3.168,14.6,30.89,9.75,99.92,4,7.4,50.0,EV City Driving
2025-05-31 18:10:50,144,44.53,2.806,16.1,53.93,19.22,99.92,4,7.0,50.0,EV City Driving
2025-05-31 18:10:51,145,59.51,2.107,18.5,73.75,35.00,99.92,4,6.4,50.0,EV City Driving
2025-05-31 18:10:52,146,56.93,2.156,15.6,72.68,33.72,99.92,4,7.1,50.0,EV City Driving
2025-05-31 18:10:53,147,60.46,2.102,14.6,74.02,35.21,99.92,4,7.4,50.0,EV City Driving
2025-05-31 18:10:54,148,44.12,2.945,17.4,48.30,16.40,99.92,4,6.7,50.0,EV City Driving
2025-05-31 18:10:55,149,33.55,3.269,16.2,28.28,8.65,99.92,4,6.9,50.0,EV City Driving
2025-05-31 18:10:56,150,27.19,3.442,17.8,15.24,4.43,99.90,5,6.6,50.0,EV City Driving
2025-05-31 18:10:57,151,46.86,3.042,14.9,44.96,14.78,99.90,5,7.3,50.0,EV City Driving
2025-05-31 18:10:58,152,61.21,2.485,18.4,68.71,27.65,99.90,5,6.4,50.0,EV City Driving
2025-05-31 18:10:59,153,71.68,1.376,14.4,70.28,51.09,99.90,5,7.4,50.0,EV City Driving
2025-05-31 18:11:00,154,56.36,1.661,14.7,72.33,43.54,99.90,5,7.3,50.0,EV City Driving
2025-05-31 18:11:01,155,42.48,2.110,15.0,69.42,32.90,99.90,5,7.3,50.0,EV City Driving
2025-05-31 18:11:03,156,32.35,2.669,14.9,54.71,20.50,99.90,5,7.3,50.0,EV City Driving
2025-05-31 18:11:04,157,24.96,2.976,15.9,40.11,13.48,99.90,5,7.0,50.0,EV City Driving
2025-05-31 18:11:05,158,19.56,2.968,15.8,25.67,8.65,99.90,5,7.0,75.0,EV City Driving
2025-05-31 18:11:06,159,41.29,2.614,18.4,59.29,22.68,99.90,5,6.4,50.0,EV City Driving
2025-05-31 18:11:07,160,57.14,1.839,18.2,73.70,40.07,99.90,5,6.5,50.0,EV City Driving
2025-05-31 18:11:08,161,48.45,1.995,15.2,71.65,35.92,99.90,5,7.2,50.0,EV City Driving
2025-05-31 18:11:09,162,36.71,2.541,15.8,59.94,23.59,99.90,5,7.0,50.0,EV City Driving
2025-05-31 18:11:10,163,28.14,2.993,19.6,40.46,13.52,99.90,5,6.2,50.0,EV City Driving
2025-05-31 18:11:11,164,23.24,3.092,18.7,33.84,10.94,99.90,5,6.4,50.0,EV City Driving
2025-05-31 18:11:12,165,18.31,3.186,17.2,17.86,5.61,99.90,5,6.7,75.0,EV City Driving
2025-05-31 18:11:13,166,40.38,2.907,15.1,48.55,16.70,99.90,5,7.2,50.0,EV City Driving
2025-05-31 18:11:14,167,56.48,2.469,14.0,67.64,27.39,99.90,5,7.5,50.0,EV City Driving
2025-05-31 18:11:15,168,62.83,2.353,17.7,71.72,30.48,99.90,5,6.6,50.0,EV City Driving
2025-05-31 18:11:16,169,72.86,1.376,14.8,70.48,51.22,99.90,5,7.3,50.0,EV City Driving
2025-05-31 18:11:17,170,53.17,2.275,19.0,70.25,30.88,99.90,5,6.3,50.0,EV City Driving
2025-05-31 18:11:18,171,40.15,2.679,15.3,56.91,21.25,99.90,5,7.2,50.0,EV City Driving
2025-05-31 18:11:19,172,30.65,2.920,19.6,44.63,15.29,99.90,5,6.2,50.0,EV City Driving
2025-05-31 18:11:20,173,23.72,3.149,17.3,31.08,9.87,99.90,5,6.7,50.0,EV City Driving
2025-05-31 18:11:21,174,40.27,2.874,16.7,49.86,17.35,99.90,5,6.8,50.0,EV City Driving
2025-05-31 18:11:22,175,56.40,2.038,15.2,73.39,36.02,99.90,5,7.2,50.0,EV City Driving
2025-05-31 18:11:23,176,60.07,1.961,17.1,74.50,38.00,99.90,5,6.7,50.0,EV City Driving
2025-05-31 18:11:24,177,45.19,2.440,15.0,64.96,26.62,99.90,5,7.3,50.0,EV City Driving
2025-05-31 18:11:25,178,34.33,3.023,14.9,41.31,13.67,99.90,5,7.3,50.0,EV City Driving
2025-05-31 18:11:26,179,34.51,3.014,19.6,41.76,13.85,99.90,5,6.2,50.0,EV City Driving
